id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11128030,Private room central in ÜSKÜDAR,47759178,Ebby,,Uskudar,41.02041,29.01481,Private room,41,1,0,,,1,0
11130064,1+1 house in the center of Kadikoy,57840092,Ayşe,,Kadikoy,40.99368,29.03721,Entire home/apt,204,365,0,,,2,365
11130911,Sultanahmet SeaView StudioApartment,57844382,Eyup Can,,Fatih,41.00414,28.97534,Entire home/apt,635,1,0,,,2,364
11133684,öğrenciye uygun günlük-haftlk daire,57857745,Yok,,Kagithane,41.09476,28.9856,Private room,48,1,0,,,1,0
11135184,Colourful single room with view in Taksim,49477990,Tuce,,Beyoglu,41.0333,28.98795,Private room,110,1,16,2018-10-15,0.50,3,0
11135895,Sultanahmet Central StudioApartment,57844382,Eyup Can,,Fatih,41.00244,28.97756,Entire home/apt,594,1,0,,,2,364
11136549,Close to Metro. 5 minutes by walking.,57873662,Ebru,,Umraniye,41.02839,29.08767,Entire home/apt,81,15,10,2020-03-05,0.23,1,94
11144144,Çatı katı,54100288,Doğan,,Esenler,41.06391,28.8603,Private room,143,1,1,2019-11-10,0.15,1,365
11144250,Burgazada da çarşıya yakın daire,57921954,Eser,,Adalar,40.87794,29.06648,Entire home/apt,353,1,22,2018-08-26,0.44,1,351
11146498,A cosy room for female student,57620332,Buckun,,Sisli,41.04902,28.98352,Private room,109,3,2,2016-12-07,0.04,1,365
11154819,Flat in a central location,58002743,Erkan,,Bakirkoy,40.99258,28.88797,Entire home/apt,672,2,0,,,1,365
